LR No,Date,Customer,Place,Quantity,Amount,Payment Method,Type
1417,13-11-2025,NR WALL 2 WALL,WALLTAX,1,300.0,1,Received
1418,13-11-2025,ROYAL STEEL,WALLTAX,1,400.0,1,Received
1419,13-11-2025,KARUNYAM TEX,WALLTAX,1,450.0,1,Received
1425,13-11-2025,ROSH ADVERTISM,WALLTAX,1,250.0,2,Received
1427,13-11-2025,BROTHERS THREAD,WALLTAX,3,900.0,1,Received
1428,13-11-2025,RAJESH PG,WALLTAX,2,600.0,1,Received
1429,13-11-2025,ARJ VISION,WALLTAX,3,900.0,1,Received
1430,13-11-2025,LUMENS LIGHTS,WALLTAX,6,1700.0,1,Received
1431,13-11-2025,K.M ENTERPRISES,WALLTAX,6,2000.0,1,Received
1432,13-11-2025,VARIETY GIFT,WALLTAX,1,300.0,1,Received
1433,13-11-2025,MD YASAR,WALLTAX,1,500.0,1,Received
1434,13-11-2025,PRIDE FASHION,WALLTAX,1,300.0,1,Received
1435,13-11-2025,SURESH KUMAR,WALLTAX,1,400.0,1,Received
1436,13-11-2025,FASHION CURTAINS,WALLTAX,1,250.0,1,Received
1420,13-11-2025,MODCON HEAL,WALLTAX,2,600.0,1,Received
1421,13-11-2025,EASE BUILDER,WALLTAX,1,400.0,1,Received
1437,13-11-2025,ROYAL STEEL,WALLTAX,3,1500.0,1,Received
1438,13-11-2025,SEL JEGAT,WALLTAX,3,600.0,1,Received
1440,13-11-2025,THE EXEXTIVE,WALLTAX,3,1700.0,2,Received
1441,13-11-2025,M/S PRIDE,WALLTAX,1,300.0,1,Received
1443,13-11-2025,MD BASHEER,WALLTAX,1,250.0,1,Received
1444,13-11-2025,BLUE BELL,WALLTAX,1,250.0,1,Received
1446,13-11-2025,M.S THAJUDON,WALLTAX,1,220.0,1,Received
1447,13-11-2025,BLUE LIGHTS,WALLTAX,1,400.0,1,Received
1448,13-11-2025,BRYTLYIB,WALLTAX,5,1250.0,1,Received
1449,13-11-2025,RECATIVE AGENCY,WALLTAX,3,900.0,1,Received
1445,13-11-2025,RAJDEEP SPICES,WALLTAX,1,300.0,1,Received
263409,14-11-2025,BALAMURUGAN,TIRUPUR,4,1280.0,1,Received
263410,14-11-2025,V K M,TIRUPUR,2,640.0,1,Received
263667,14-11-2025,NAGARAJ,TIRUPUR,1,150.0,1,Received
264115,14-11-2025,MAHAVEERA TRADING,TIRUPUR,5,750.0,1,Received
264231,14-11-2025,EASAN APPARELS,TIRUPUR,3,750.0,1,Received
264298,14-11-2025,PREFERED,TIRUPUR,6,1320.0,1,Received
9458,14-11-2025,BALAMURUGAN,TIRUPUR,5,1600.0,1,Received
9467,14-11-2025,MAHAVIR POLY,TIRUPUR,2,300.0,1,Received
9470,14-11-2025,LAKSHMI GANESHA,TIRUPUR,1,110.0,1,Received
9471,14-11-2025,BIGFI PRINT,TIRUPUR,1,110.0,1,Received
9472,14-11-2025,JB FASHION,TIRUPUR,1,50.0,1,Received
264553,14-11-2025,KANNIAPPAN,TIRUPUR,3,420.0,1,Received
9464,14-11-2025,SRI STI GARMENTS,TIRUPUR,1,100.0,2,Received
263718,14-11-2025,RATHI AND RATHI,TIRUPUR,1,100.0,3,Received
264318,14-11-2025,RATHI AND RATHI,TIRUPUR,4,640.0,3,Received
1103,14-11-2025,RAJADHANI,COIMBATORE,5,1000.0,2,Received
9460,14-11-2025,MOHAMED NAZIM,COIMBATORE,1,150.0,1,Received
263978,14-11-2025,KALIRAJ,COIMBATORE,3,600.0,2,Received
0438,14-11-2025,SIRAJ THREADS,COIMBATORE,15,1800.0,1,Received
263622,14-11-2025,BLACK KING,COIMBATORE,5,460.0,1,Received
263686,14-11-2025,GRIPTOL LUBES,COIMBATORE,2,2000.0,1,Received
360,14-11-2025,ARK BHARATHRAJ,COIMBATORE,10,12500.0,3,Received
363,14-11-2025,SELF,COIMBATORE,13,4000.0,2,Received
10613,14-11-2025,RAAJGURU FITNESS,COIMBATORE,1,400.0,2,Received
1557,14-11-2025,PATEL SANITARY,COIMBATORE,5,1000.0,1,Received
264001,14-11-2025,TARQI TRADING,COIMBATORE,26,6500.0,2,Received
263754,14-11-2025,CNH MOULDS,COIMBATORE,1,200.0,2,Received
263575,14-11-2025,JR,COIMBATORE,7,1650.0,1,Received
263615,14-11-2025,SARAVANA SELVARATHNAM,COIMBATORE,5,750.0,2,Received
263937,14-11-2025,SHREE RATHNA,COIMBATORE,7,2100.0,2,Received
8918,14-11-2025,CNH MOULDS,COIMBATORE,1,300.0,1,Received
10304,14-11-2025,FASHION BHIM,COIMBATORE,2,700.0,1,Received
10306,14-11-2025,MAGILON SPORTS,COIMBATORE,2,700.0,1,Received
1450,14-11-2025,LAMINAR LAMINA,WALLTAX,40,12000.0,1,Received
1451,14-11-2025,EMPORE ELANZA,WALLTAX,1,400.0,1,Received
1452,14-11-2025,KATTUNGAL METALS,WALLTAX,4,2000.0,1,Received
1453,14-11-2025,GOODYS ENTERPRISES,WALLTAX,1,250.0,1,Received
1454,14-11-2025,KATTUNGAL METALS,WALLTAX,3,1800.0,1,Received
1455,14-11-2025,SUSI GARMENTS,WALLTAX,3,450.0,1,Received
1456,14-11-2025,GANAPATHY,WALLTAX,1,350.0,1,Received
1457,14-11-2025,BOSCO INTERNATIONAL,WALLTAX,2,400.0,1,Received
1458,14-11-2025,GOLDEN THREAD,WALLTAX,1,400.0,1,Received
1459,14-11-2025,QUILL FORM,WALLTAX,2,400.0,1,Received
1460,14-11-2025,CASH,WALLTAX,1,250.0,1,Received
1461,14-11-2025,PRIME STEEL,WALLTAX,1,500.0,1,Received
1462,14-11-2025,RAJA RANI,WALLTAX,2,700.0,1,Received
1463,14-11-2025,MANGALORE,WALLTAX,1,500.0,1,Received
1464,14-11-2025,UNIQUE SALES,WALLTAX,1,250.0,1,Received
1465,14-11-2025,RAVI KUMAR,WALLTAX,3,700.0,1,Received
1466,14-11-2025,BABY VARIETIES,WALLTAX,1,250.0,1,Received
1467,14-11-2025,RUN SPORTS,WALLTAX,2,700.0,1,Received
1468,14-11-2025,MS DESIGN,WALLTAX,4,1000.0,1,Received
1469,14-11-2025,UNITY TRADER,WALLTAX,1,400.0,1,Received
1470,14-11-2025,HI FASHION,WALLTAX,2,500.0,1,Received
1471,14-11-2025,DENWUD EXIM,WALLTAX,1,300.0,1,Received
1472,14-11-2025,FAIRFIX LABLES,WALLTAX,1,150.0,1,Received
1473,14-11-2025,SHREE RAJESHWAR,WALLTAX,1,400.0,1,Received
1474,14-11-2025,KRG & CO,WALLTAX,1,200.0,1,Received
1475,14-11-2025,AQUA TERRA,WALLTAX,1,200.0,1,Received
1476,14-11-2025,NEW ROYAL,WALLTAX,1,300.0,1,Received
1477,14-11-2025,A.K STORES,WALLTAX,2,800.0,1,Received
1478,14-11-2025,ACB CHEMICALS,WALLTAX,3,750.0,2,Received
1479,14-11-2025,ROYAL BANNIENS,WALLTAX,1,500.0,1,Received
1480,14-11-2025,PS TRADERS,WALLTAX,3,900.0,1,Received
1481,14-11-2025,TAILORS MART,WALLTAX,3,750.0,1,Received
1482,15-11-2025,MAHALAXMI,WALLTAX,8,2300.0,1,Received
1483,15-11-2025,MECHANICAL,WALLTAX,1,400.0,1,Received
1485,15-11-2025,ROOTS,WALLTAX,1,450.0,1,Received
1486,15-11-2025,PS TOYS,WALLTAX,4,2000.0,1,Received
1487,15-11-2025,THE TAMARA,WALLTAX,3,750.0,1,Received
1488,15-11-2025,SIVA ELECTRICALS,WALLTAX,2,500.0,1,Received
1489,15-11-2025,DHARWISH,WALLTAX,4,1200.0,1,Received
1490,15-11-2025,KM ENTERPRISES,WALLTAX,6,1500.0,1,Received
1484,15-11-2025,KATTUNGAL METAL,WALLTAX,3,1400.0,1,Received
1491,15-11-2025,BHAVANI SPICES,WALLTAX,10,3000.0,1,Received
1492,15-11-2025,ST ANTONY,WALLTAX,1,500.0,1,Received
1493,15-11-2025,M/S SHREE,WALLTAX,1,200.0,1,Received
1494,15-11-2025,SS BEARING,WALLTAX,4,800.0,1,Received
1495,15-11-2025,YAS TRADERS,WALLTAX,4,1200.0,1,Received
1496,15-11-2025,ASHAPURA,WALLTAX,1,550.0,1,Received
1497,15-11-2025,YANTHRIK,WALLTAX,1,250.0,1,Received
1498,15-11-2025,SHENOY,WALLTAX,1,250.0,1,Received
1499,15-11-2025,AQUA TERRA,WALLTAX,1,120.0,1,Received
1500,15-11-2025,TAILORS MART,WALLTAX,2,800.0,1,Received
1501,15-11-2025,PKA TRADERS,WALLTAX,2,700.0,1,Received
1503,15-11-2025,BLOOM LIGHT,WALLTAX,1,400.0,1,Received
1504,15-11-2025,AIRTEX ELECTRICAL,WALLTAX,2,300.0,1,Received
267066,17-11-2025,SCHOPPE,COIMBATORE,6,3000.0,1,Received
068,17-11-2025,NUMED SYSTEMS,COIMBATORE,1,220.0,1,Received
1976,17-11-2025,S SESHADSI,COIMBATORE,1,300.0,2,Received
266118,17-11-2025,PROFESSIONAL CARE,COIMBATORE,3,600.0,1,Received
266340,17-11-2025,BLACK KING,COIMBATORE,35,2080.0,1,Received
266335,17-11-2025,BLACK KING,COIMBATORE,69,4335.0,1,Received
069,17-11-2025,FEMING PRODUCTS,COIMBATORE,1,250.0,1,Received
8918,17-11-2025,CNH MOULDS,COIMBATORE,1,100.0,1,Received
1115,17-11-2025,RAYADHANI INDUSTRIAL,COIMBATORE,4,800.0,2,Received
12691,17-11-2025,MM JUTE,COIMBATORE,1,260.0,2,Received
267824,18-11-2025,COLOUR SPARROW,TIRUPUR,1,100.0,2,Received
268123,18-11-2025,EMCO CLOTHE,TIRUPUR,14,3500.0,1,Received
268340,18-11-2025,EMCO CLOTHE,TIRUPUR,4,1000.0,1,Received
9536,18-11-2025,MAHAVIR POLY,TIRUPUR,2,300.0,1,Received
9532,18-11-2025,SRI STI GARMENTS,TIRUPUR,1,100.0,2,Received
267301,18-11-2025,RATHI AND RATHI,TIRUPUR,2,200.0,3,Received
267309,18-11-2025,RATHI AND RATHI,TIRUPUR,1,100.0,3,Received
267967,18-11-2025,RATHI AND RATHI,TIRUPUR,2,300.0,3,Received
268318,18-11-2025,RATHI AND RATHI,TIRUPUR,5,800.0,3,Received
268322,18-11-2025,RATHI AND RATHI,TIRUPUR,2,320.0,3,Received
268324,18-11-2025,RATHI AND RATHI,TIRUPUR,1,160.0,3,Received
268326,18-11-2025,RATHI AND RATHI,TIRUPUR,2,320.0,3,Received
268332,18-11-2025,RATHI AND RATHI,TIRUPUR,5,500.0,3,Received
9527,18-11-2025,RAGHUL SOLINGANOOR,COIMBATORE,1,160.0,1,Received
267097,18-11-2025,HEMAMALINI MARKETING,COIMBATORE,4,400.0,1,Received
267098,18-11-2025,SARASWATHI TRADERS,COIMBATORE,1,100.0,1,Received
267376,18-11-2025,ULTIMATE TYRE,COIMBATORE,33,2970.0,1,Received
267277,18-11-2025,MOHAMED AZAL,COIMBATORE,1,1800.0,2,Received
268029,18-11-2025,HERA MEDPRO,COIMBATORE,6,900.0,1,Received
267454,18-11-2025,JOSHUVA,COIMBATORE,40,6400.0,1,Received
1138,01-11-2025,AL GHARALI,WALLTAX,3,1800.0,1,Received
1139,01-11-2025,PARANI TEXTILE,WALLTAX,1,500.0,1,Received
1140,01-11-2025,SHEETAL FLOWER,WALLTAX,4,1600.0,1,Received
1141,01-11-2025,VARIETY THREAD,WALLTAX,1,350.0,1,Received
1142,01-11-2025,SHAMSUDHIN,WALLTAX,1,400.0,1,Received
1143,01-11-2025,BRIGHT POINT,WALLTAX,1,300.0,1,Received
1144,01-11-2025,TWO AR AS,WALLTAX,1,250.0,1,Received
1145,01-11-2025,UNIQUE SALES,WALLTAX,2,550.0,1,Received
1146,01-11-2025,BRIDGR AND ROPE,WALLTAX,12,3600.0,1,Received
1147,01-11-2025,T.J DISTRIBUTORS,WALLTAX,2,760.0,1,Received
1148,01-11-2025,TEAM SANTRA,WALLTAX,2,500.0,1,Received
1149,01-11-2025,AQUA TERA,WALLTAX,4,480.0,1,Received
1150,01-11-2025,SAMSON THANKAR,WALLTAX,1,300.0,1,Received
1151,01-11-2025,DENWUD EXIN,WALLTAX,1,300.0,1,Received
1152,01-11-2025,SREE RAM,WALLTAX,10,1200.0,1,Received
1153,01-11-2025,PRIDE FASHION,WALLTAX,1,250.0,1,Received
1154,01-11-2025,BLUE BELL,WALLTAX,1,250.0,1,Received
1155,01-11-2025,CEG & COMPANY,WALLTAX,13,1800.0,1,Received
1156,01-11-2025,GULF POINT,WALLTAX,4,1800.0,1,Received
1157,01-11-2025,TAILORS MART,WALLTAX,2,800.0,1,Received
1158,01-11-2025,THREADS,WALLTAX,2,500.0,1,Received
1159,01-11-2025,AN ASSOCIATES,WALLTAX,1,220.0,1,Received
1160,01-11-2025,K.M ENTERPRISES,WALLTAX,1,300.0,1,Received
1161,01-11-2025,MASS COOL ENTER,WALLTAX,1,300.0,1,Received
1162,01-11-2025,KLOTH SURPLUS,WALLTAX,1,350.0,1,Received
1163,01-11-2025,TAILORS MART,WALLTAX,2,600.0,1,Received
1164,01-11-2025,GANI TRADING,WALLTAX,5,1350.0,1,Received
1165,01-11-2025,UNITY TRADES,WALLTAX,1,250.0,1,Received
1166,01-11-2025,PKA TUBES,WALLTAX,7,2450.0,1,Received
1167,01-11-2025,RAJDEEP SPICES,WALLTAX,3,900.0,1,Received
1168,01-11-2025,VARIETY THREAD,WALLTAX,2,600.0,1,Received
1169,03-11-2025,AYYAPPA ELECTRICAL,WALLTAX,1,400.0,1,Received
1170,03-11-2025,COVAI SINGAPORE,WALLTAX,15,4500.0,1,Received
1171,03-11-2025,BLUE LIGHT,WALLTAX,1,250.0,1,Received
1172,03-11-2025,CASH BLOOM,WALLTAX,3,850.0,1,Received
1173,03-11-2025,EAGLE BRAAM,WALLTAX,4,2200.0,1,Received
1174,03-11-2025,CO NATURE,WALLTAX,1,300.0,1,Received
1175,03-11-2025,SAMSON THANKAR,WALLTAX,1,300.0,1,Received
1176,03-11-2025,GANI TRADING,WALLTAX,3,810.0,1,Received
1177,03-11-2025,PARNAVT TEXTILES,WALLTAX,2,600.0,1,Received
1178,03-11-2025,GULF BAZAR,WALLTAX,1,400.0,1,Received
1179,03-11-2025,VILANGADAN,WALLTAX,1,300.0,1,Received
1180,03-11-2025,ZOLO GRID,WALLTAX,10,400.0,1,Received
1181,03-11-2025,AAYUSH FOOD,WALLTAX,1,150.0,1,Received
1182,03-11-2025,CHIKKU,WALLTAX,15,1500.0,1,Received
1183,03-11-2025,T.J DISTRIBUTORS,WALLTAX,2,1060.0,1,Received
1185,03-11-2025,EAGLE BROOM,WALLTAX,2,1100.0,1,Received
1186,03-11-2025,JUPITER,WALLTAX,2,160.0,1,Received
1187,03-11-2025,THE KUHAPRIYA,WALLTAX,20,1600.0,1,Received
1188,03-11-2025,P.S TRADERS,WALLTAX,2,600.0,1,Received
1190,03-11-2025,MUTHU QUALITY,WALLTAX,17,1360.0,1,Received
1191,03-11-2025,SRI ANGAMMAN,WALLTAX,10,800.0,1,Received
1192,03-11-2025,SRI VIJAY,WALLTAX,10,800.0,1,Received
1193,03-11-2025,VARIETY GIFT,WALLTAX,4,1800.0,1,Received
1194,03-11-2025,RAJA ELECTRICAL,WALLTAX,1,100.0,1,Received
1195,03-11-2025,SHAMBHU,WALLTAX,19,4200.0,1,Received
1196,03-11-2025,KATTUNGAL METAL,WALLTAX,2,1600.0,1,Received
1197,04-11-2025,PARVATHI PCO,WALLTAX,3,1200.0,1,Received
1198,04-11-2025,MALABBAR AGENCIES,WALLTAX,8,3300.0,1,Received
1199,04-11-2025,PKA TUBES,WALLTAX,5,2250.0,1,Received
1200,04-11-2025,LIJO,WALLTAX,1,250.0,2,Received
1201,04-11-2025,ACK FOOD,WALLTAX,3,900.0,1,Received
1202,04-11-2025,BROTHERS THREAD,WALLTAX,1,300.0,1,Received
1203,04-11-2025,ANALOCS AUDIO,WALLTAX,2,650.0,1,Received
1204,04-11-2025,KATTUNGAL METAL,WALLTAX,1,450.0,1,Received
1206,04-11-2025,MANGALORE,WALLTAX,1,250.0,1,Received
1207,04-11-2025,FLOREAT BULDING,WALLTAX,2,500.0,1,Received
1208,04-11-2025,YAS TRADERS,WALLTAX,4,1080.0,1,Received
1209,04-11-2025,SK BROOMS,WALLTAX,4,2200.0,1,Received
1210,04-11-2025,BRILLIANT POINT,WALLTAX,1,230.0,1,Received
1211,04-11-2025,JAYAB KHAN,WALLTAX,1,300.0,1,Received
1213,04-11-2025,FATHIMA,WALLTAX,1,250.0,1,Received
1214,04-11-2025,RAINBOW INTERIORE,WALLTAX,2,550.0,1,Received
1215,04-11-2025,NEW ROYAL,WALLTAX,3,900.0,1,Received
1216,04-11-2025,RAVI KUMAR,WALLTAX,10,3000.0,1,Received
1217,04-11-2025,TOKIO POWER,WALLTAX,11,3200.0,1,Received
1218,05-11-2025,HI TECH SECURITY,WALLTAX,1,300.0,1,Received
1219,05-11-2025,P.S TOYS,WALLTAX,10,4000.0,1,Received
1220,05-11-2025,ZAKEER HUZAIN,WALLTAX,3,420.0,2,Received
1221,05-11-2025,MAKKAM TRADERS,WALLTAX,15,2600.0,1,Received
1222,05-11-2025,AL HABI TRADERS,WALLTAX,1,450.0,1,Received
1223,05-11-2025,DRILL & DRIVE,WALLTAX,24,6000.0,1,Received
1224,05-11-2025,ABHI LIGHT,WALLTAX,2,500.0,1,Received
1225,05-11-2025,GAYATHRI STICKER,WALLTAX,2,300.0,1,Received
1226,05-11-2025,ABI VISION,WALLTAX,2,500.0,1,Received
1227,05-11-2025,GF POWER,WALLTAX,1,300.0,1,Received
1228,05-11-2025,GRAND TECH,WALLTAX,5,1000.0,1,Received
1229,05-11-2025,SHEETAL FLOWER,WALLTAX,1,500.0,1,Received
1230,05-11-2025,KATTUNGAL METAL,WALLTAX,2,900.0,1,Received
1231,05-11-2025,ANGER BEVERE,WALLTAX,2,600.0,1,Received
1232,05-11-2025,USHA,WALLTAX,24,3360.0,1,Received
1233,05-11-2025,AKRUTHI INTERIOR,WALLTAX,3,840.0,1,Received
1234,05-11-2025,VINDAUGA WIN,WALLTAX,1,250.0,1,Received
1235,05-11-2025,SHINY TERESA,WALLTAX,1,450.0,1,Received
1236,05-11-2025,PAAPAI EXPO,WALLTAX,1,200.0,1,Received
1237,05-11-2025,OPTIO SIGN,WALLTAX,2,600.0,1,Received
1238,05-11-2025,SIVA ELECTRICAL,WALLTAX,1,120.0,1,Received
1239,05-11-2025,ABC CHEMICAL,WALLTAX,14,2600.0,2,Received
1240,05-11-2025,LIGHTING,WALLTAX,1,350.0,1,Received
1241,05-11-2025,VARIETY GIFT,WALLTAX,4,1800.0,1,Received
1242,05-11-2025,AQUA TERA,WALLTAX,1,200.0,1,Received
1243,05-11-2025,NR WALL 2 WALL,WALLTAX,1,300.0,1,Received
1244,05-11-2025,GANI TRADING,WALLTAX,6,1620.0,1,Received
1245,05-11-2025,GRAND SPARE,WALLTAX,2,600.0,1,Received
269845,20-11-2025,BALAMURUGAN,TIRUPUR,7,2240.0,1,Received
269859,20-11-2025,BAID THREAD,TIRUPUR,1,200.0,1,Received
269862,20-11-2025,BABU AGENCIES,TIRUPUR,2,400.0,1,Received
270693,20-11-2025,EMCO CLOTHE,TIRUPUR,11,2750.0,1,Received
270743,20-11-2025,MANGAL AGENCIES,TIRUPUR,1,150.0,1,Received
271133,20-11-2025,EMCO CLOTHE,TIRUPUR,13,3250.0,1,Received
9585,20-11-2025,BIGFI PRINT SOLUTION,TIRUPUR,1,110.0,1,Received
9586,20-11-2025,MAHAVIR POLY,TIRUPUR,4,600.0,1,Received
270390,20-11-2025,SRI STI GARMENTS,TIRUPUR,1,200.0,2,Received
270816,20-11-2025,NATIONAL TEXTILES,TIRUPUR,8,1120.0,1,Received
9581,20-11-2025,VIMAL,TIRUPUR,3,2300.0,1,Received
9587,20-11-2025,SRI STI GARMENTS,TIRUPUR,1,100.0,2,Received
271002,20-11-2025,RATHI AND RATHI,TIRUPUR,1,150.0,3,Received
269565,20-11-2025,VICHANDRA,COIMBATORE,1,250.0,1,Received
1125,20-11-2025,RAJADHANI,COIMBATORE,6,1200.0,2,Received
268505,20-11-2025,MOTHER PRINTERS,COIMBATORE,1,5000.0,1,Received
269965,20-11-2025,SARAVANA SELVARATHNAM,COIMBATORE,3,900.0,2,Received
269962,20-11-2025,SARAVANA SELVARATHNAM,COIMBATORE,2,600.0,2,Received
270386,20-11-2025,ADITYAA AGRO,COIMBATORE,1,100.0,1,Received
387,20-11-2025,GOVIND RAJ,COIMBATORE,1,1500.0,2,Received
823,20-11-2025,ESANDHAI,COIMBATORE,2,2600.0,2,Received
4980,20-11-2025,JJ LALC,COIMBATORE,1,0.0,1,Received
7057,20-11-2025,ZINGHA,COIMBATORE,1,250.0,1,Received
1561,20-11-2025,GULF POINT,WALLTAX,1,300.0,1,Received
1562,20-11-2025,SNEHITHA,WALLTAX,4,1600.0,1,Received
1563,20-11-2025,DENWUD EXIM,WALLTAX,2,500.0,1,Received
1564,20-11-2025,KRISHNA TRADERS,WALLTAX,9,1620.0,1,Received
1565,20-11-2025,NANDANAM TRADER,WALLTAX,2,500.0,1,Received
1566,20-11-2025,JEEVAN TRADERS,WALLTAX,3,1050.0,1,Received
1567,20-11-2025,BHASHEED FASHION,WALLTAX,1,200.0,1,Received
1568,20-11-2025,VARIETY THREAD,WALLTAX,1,250.0,1,Received
1569,20-11-2025,GURU METAL,WALLTAX,2,800.0,1,Received
1570,20-11-2025,DRILL AND DRIVE,WALLTAX,8,1600.0,1,Received
1571,20-11-2025,K.M ENTERPRISES,WALLTAX,1,200.0,1,Received
1572,20-11-2025,ASN STORES,WALLTAX,7,2100.0,2,Received
1573,20-11-2025,KATTUNGAL METAL,WALLTAX,2,900.0,1,Received
1574,20-11-2025,TRADE HOUSE,WALLTAX,3,750.0,1,Received
1575,20-11-2025,EAGLE BROOM,WALLTAX,2,1100.0,1,Received
1576,20-11-2025,KUNNAL,WALLTAX,2,350.0,2,Received
1578,20-11-2025,EAGLE BROOM,WALLTAX,2,1100.0,1,Received
1579,20-11-2025,SK BROOM,WALLTAX,2,1100.0,1,Received
1580,20-11-2025,SHREE CLASS,WALLTAX,2,400.0,1,Received
1581,20-11-2025,SIVA ELECTICALS,WALLTAX,1,150.0,1,Received
1582,20-11-2025,SIVA ELECTICALS,WALLTAX,1,400.0,1,Received
1583,20-11-2025,LIJO,WALLTAX,1,250.0,2,Received
1584,20-11-2025,THE COTTON,WALLTAX,2,700.0,1,Received
1585,20-11-2025,KATTUNGAL METAL,WALLTAX,1,300.0,1,Received
1586,20-11-2025,AM STORE,WALLTAX,3,900.0,1,Received
1587,20-11-2025,KATTUNGAL METAL,WALLTAX,3,2100.0,1,Received
1588,20-11-2025,MAHA LAKSHMI,WALLTAX,5,1700.0,1,Received
1589,20-11-2025,SINGAPORE,WALLTAX,7,2100.0,1,Received
1590,20-11-2025,DESIRE KOCHI,WALLTAX,10,2500.0,1,Received
1591,20-11-2025,AK BEARING,WALLTAX,3,660.0,1,Received
1592,20-11-2025,SG MERLION,WALLTAX,1,400.0,1,Received
1593,20-11-2025,JERKAN TRADERS,WALLTAX,2,700.0,1,Received
1594,20-11-2025,TRADE HOUSE,WALLTAX,5,1800.0,1,Received
1595,20-11-2025,CIG & COMPANY,WALLTAX,15,2000.0,1,Received
1596,20-11-2025,RAMDEV TRADERS,WALLTAX,2,800.0,1,Received
1597,20-11-2025,EAGLE BROOM,WALLTAX,2,1100.0,1,Received
1598,20-11-2025,INFO SEWRITY,WALLTAX,5,1500.0,1,Received
1599,20-11-2025,KARUNYAM,WALLTAX,2,900.0,1,Received
1600,20-11-2025,FASHION CURRAINS,WALLTAX,1,220.0,1,Received
1601,20-11-2025,CITY LIGHTS,WALLTAX,5,1400.0,1,Received
1602,20-11-2025,SATHYA SAI,WALLTAX,1,300.0,1,Received
1603,20-11-2025,JEEVAN TRADERS,WALLTAX,4,1400.0,1,Received
1604,20-11-2025,BADA BAZAR,WALLTAX,4,1400.0,1,Received
1605,20-11-2025,THEJAS METAL,WALLTAX,11,2800.0,1,Received
1246,06-11-2025,LIJO,WALLTAX,1,250.0,1,Received
1247,06-11-2025,AVTEC,WALLTAX,1,300.0,1,Received
1248,06-11-2025,MINA AGENCIES,WALLTAX,68,12240.0,1,Received
1249,06-11-2025,SRUTHI LIGHTS,WALLTAX,1,250.0,1,Received
1250,06-11-2025,KATTUNGAL METAL,WALLTAX,1,600.0,1,Received
1251,06-11-2025,ARBUDA CYCLES,WALLTAX,18,5400.0,2,Received
1252,06-11-2025,HI FASHION,WALLTAX,1,250.0,1,Received
1253,06-11-2025,UNIQUE SALES,WALLTAX,1,250.0,1,Received
1254,06-11-2025,MKR ASSOCIATES,WALLTAX,2,500.0,1,Received
1255,06-11-2025,BRIGHT POINT,WALLTAX,2,550.0,1,Received
1256,06-11-2025,SHREE RAJESWAR,WALLTAX,3,900.0,1,Received
1257,06-11-2025,BRYTCYTE,WALLTAX,2,500.0,1,Received
1258,06-11-2025,CITY LIGHTS,WALLTAX,3,750.0,1,Received
1259,06-11-2025,DELIVERY AT,WALLTAX,11,4400.0,1,Received
1260,06-11-2025,SIVA ELECTRICALS,WALLTAX,1,120.0,1,Received
1261,06-11-2025,GANI TRADING,WALLTAX,2,540.0,1,Received
1262,06-11-2025,CITY LIGHTS,WALLTAX,6,1500.0,1,Received
1263,06-11-2025,VARIETY THREAD,WALLTAX,1,400.0,1,Received
1264,06-11-2025,RAINBOW INTRADAY,WALLTAX,1,300.0,1,Received
1265,06-11-2025,T.J DISTRIBUTORS,WALLTAX,4,1120.0,1,Received
1266,06-11-2025,UNIQUE SALES,WALLTAX,6,2100.0,1,Received
1267,06-11-2025,SIVA GURU PAPER,WALLTAX,2,300.0,1,Received
1268,07-11-2025,SIJO,WALLTAX,3,450.0,2,Received
1269,07-11-2025,LIGHTING STUDIO,WALLTAX,2,800.0,1,Received
1270,07-11-2025,SAGAR REXINE,WALLTAX,1,600.0,1,Received
1271,07-11-2025,ROYAL STEEL,WALLTAX,1,600.0,1,Received
1272,07-11-2025,SHINY TERESA,WALLTAX,1,450.0,1,Received
1273,07-11-2025,ABDUL NASAR,WALLTAX,1,250.0,1,Received
1274,07-11-2025,HARIS KP,WALLTAX,1,200.0,1,Received
1275,07-11-2025,SUSI GARMENTS,WALLTAX,2,300.0,1,Received
1276,07-11-2025,BRIGHT POINT,WALLTAX,3,900.0,1,Received
1277,07-11-2025,DENWUD EXIM,WALLTAX,1,250.0,1,Received
1278,07-11-2025,BHAVANI SPICES,WALLTAX,4,1200.0,1,Received
1279,07-11-2025,RAJDEEP SPICES,WALLTAX,3,900.0,1,Received
1280,07-11-2025,UNIQUE SALES,WALLTAX,2,500.0,1,Received
1281,07-11-2025,SREE POLY,WALLTAX,3,360.0,1,Received
1282,07-11-2025,GLAZA CARE,WALLTAX,3,750.0,1,Received
1283,07-11-2025,PKA TUBES,WALLTAX,3,1550.0,1,Received
1284,07-11-2025,SHENOX,WALLTAX,1,250.0,1,Received
1285,07-11-2025,DRILL AND DRIVE,WALLTAX,22,5500.0,1,Received
1286,07-11-2025,XAS TRADERS,WALLTAX,2,600.0,1,Received
1287,07-11-2025,CITY LIGHTS,WALLTAX,3,900.0,1,Received
1288,08-11-2025,P.S DISTRIBUTORS,WALLTAX,3,1800.0,1,Received
1289,08-11-2025,T.S DISTRIBUTORS,WALLTAX,2,760.0,2,Received
1290,08-11-2025,SHANTI MARKETING,WALLTAX,2,560.0,1,Received
1291,08-11-2025,PS TOYS,WALLTAX,1,500.0,1,Received
1292,08-11-2025,NEW INDIA TOYS,WALLTAX,16,5300.0,1,Received
