LR No,Date,Customer,Place,Quantity,Amount,Payment Method,Type
332,04-11-2025,MINA AGENCIES,MALAPURAM,29,8500.0,1,Booking
333,04-11-2025,MAVA ELECTRICALS,ERNAKULAM,11,3250.0,1,Booking
334,04-11-2025,M/S ARASAN,COIMBATORE,12,7000.0,1,Booking
335,04-11-2025,SUN TEXT,TIRUPUR,28,2070.0,2,Booking
336,04-11-2025,TRIVANDRUM METALS,TRIVANDRUM,5,1250.0,1,Booking
337,04-11-2025,GLOBAL SOAP,THAMARASERY,23,8800.0,1,Booking
339,04-11-2025,A.S ENTERPRISES,TIRUPUR,1,150.0,1,Booking
340,04-11-2025,ESTOC AUTOMATION,KOTTAYAM,1,5000.0,1,Booking
341,04-11-2025,RAJA CYCLE,THIRUVALLA,11,4400.0,1,Booking
343,04-11-2025,SIDDHI CARE,KANHANGAD,2,600.0,1,Booking
344,04-11-2025,MARIA AGENCIES,THRISSUR,70,10500.0,2,Booking
345,04-11-2025,ANANYA HEATER,COIMBATORE,1,150.0,1,Booking
346,05-11-2025,USHA AGENCIES,ERNAKULAM,4,1050.0,1,Booking
347,05-11-2025,JOS ELECTRICALS,ERNAKULAM,1,250.0,1,Booking
348,05-11-2025,T GNANAMBAL,COIMBATORE,5,1000.0,1,Booking
349,05-11-2025,KALPANA ENTERPRISES,COIMBATORE,2,400.0,1,Booking
350,05-11-2025,FAROOK KHAN,CALICUT,3,1650.0,1,Booking
351,05-11-2025,P.T ENTERPRISES,PATTAMBI,1,550.0,1,Booking
352,05-11-2025,RINILIMA,TRIVANDRUM,2,300.0,2,Booking
353,05-11-2025,T.J DISTRIBUTORS,VARAPUZHA,3,1140.0,1,Booking
354,05-11-2025,PIXEL DIGITAL,KASARGOD,4,1200.0,1,Booking
355,05-11-2025,MANGALA HYGIENE,MANGALORE,11,2750.0,1,Booking
356,05-11-2025,KEMI STEEL,PALAKAD,25,6250.0,1,Booking
357,05-11-2025,BALAGI,TRIVANDRUM,3,800.0,2,Booking
358,05-11-2025,PRINT HARVEST,TIRUPUR,2,312.0,1,Booking
359,05-11-2025,GOLDEN,TIRUPUR,1,150.0,1,Booking
360,05-11-2025,QUENCH,COIMBATORE,4,1400.0,1,Booking
361,05-11-2025,GOLDEN CAPITAL,THRISSUR,15,3500.0,1,Booking
362,05-11-2025,ISA TRADING IMPEX,CALICUT,13,3750.0,1,Booking
363,05-11-2025,MANGALORE HOTEL,MANGALORE,1,2300.0,1,Booking
364,06-11-2025,SARATHI,COIMBATORE,1,1800.0,2,Booking
365,06-11-2025,MANGALORE HOTEL,MANGALORE,8,2500.0,1,Booking
366,06-11-2025,PRIDE AGENCIES,CALUCUT,4,2200.0,1,Booking
367,06-11-2025,CITY AUTOPARTS,COCHIN,1,200.0,1,Booking
368,06-11-2025,GRANDTECH,ERNAKULAM,50,5000.0,1,Booking
369,06-11-2025,ICONICITY,BENGALORE,3,2100.0,1,Booking
370,06-11-2025,HOULANA SPORTS,PERINTALMANA,2,800.0,1,Booking
371,06-11-2025,ESCO PIPES,KANJIKODE,1,5000.0,1,Booking
372,06-11-2025,SABAPATHI ENTERPRISES,COIMBATORE,1,1500.0,1,Booking
373,06-11-2025,SUPREME DECORATIVE,KASARGOD,4,900.0,1,Booking
374,06-11-2025,SARAVANAS BABY SHOP,COIMBATORE,3,900.0,1,Booking
375,06-11-2025,COVAI SINGAPORE,COIMBATORE,6,2100.0,1,Booking
376,06-11-2025,SRI BALAJI,COIMABTORE,1,150.0,1,Booking
377,06-11-2025,HEATRAN ENG,COIMBATORE,2,300.0,1,Booking
378,06-11-2025,LIGHT POINT,PARINTHALMANNA,1,350.0,1,Booking
379,06-11-2025,APOORVA DECOR,CHANGANACHERY,1,250.0,1,Booking
380,06-11-2025,LED SHOPEE,CHANGANACHERY,1,300.0,1,Booking
381,06-11-2025,BT LIGHTS,KUNNAMKULAM,1,350.0,1,Booking
382,07-11-2025,A.S ENTERPRISES,TIRUPUR,2,200.0,1,Booking
383,07-11-2025,M/S VARAKAR,ERODE,1,800.0,1,Booking
384,07-11-2025,BUDDIES,KALPETTA,1,300.0,2,Booking
385,07-11-2025,JOS ELECTRICALS,ERNAKULAM,2,500.0,1,Booking
386,07-11-2025,BARFY AND CLARK,TIRUPUR,6,600.0,1,Booking
387,07-11-2025,TEEKAY NON WOVEN,SIVAKASI,13,810.0,1,Booking
388,07-11-2025,BONFAB TEXTILES,TIRUPUR,20,1750.0,1,Booking
389,07-11-2025,SINCERA IMPORT,TIRUPUR,45,3310.0,1,Booking
390,07-11-2025,SINFCERA TEXTILES,KUNNAMKULAM,40,3000.0,1,Booking
391,07-11-2025,CEMINDIA PROJECTS,TRIVANDRUM,7,2200.0,2,Booking
392,07-11-2025,MOOKAMBIKA,COIMBATORE,1,150.0,1,Booking
