source_type,lr_no,date,from_customer,to_customer,place,quantity,amount,payment_method,accounted_date,truck_no
RECEIVED,1604,20-11-2025,,BADA BAZAR,KARUNAGAPALLY,4,1400.0,1,,TN 38 DK 3547
RECEIVED,1605,20-11-2025,,THEJAS METAL,CALICUT,11,2800.0,1,,TN 38 DK 3547
BOOKING,580,20-11-2025,SRI STI GARMENTS,GOLDEN OFFSET,TIRUPUR,5,750.0,1,,TN 38 DK 3547
BOOKING,581,20-11-2025,ASHWANTH RAJ,CLASSIC GOLD,COIMBATORE,1,120.0,2,,TN 38 DK 3547
BOOKING,999,20-11-2025,SOTHERN ENTERPRISES,SR PLY WOODS,COIMBATORE,5,500.0,3,,TN 38 DK 3547
BOOKING,483,14-11-2025,MAGZ POLYMERS,FAROOK KHAN,CALICUT,3,1650.0,1,,TN 38 DK 1272
BOOKING,486,14-11-2025,HITECH ELECTRICALS,JOS ELECTRICALS,ERNAKULAM,1,300.0,1,,TN 38 DK 1272
BOOKING,487,14-11-2025,KAMAL THE FLOWER,FLOWER LAND,CHALAKUDY,3,1000.0,1,,TN 38 DK 1272
BOOKING,488,14-11-2025,SANKAR,KERALA AUTO MOBILES,CALICUT,1,200.0,1,,TN 38 DK 1272
BOOKING,489,14-11-2025,HITECH ELECTRICALS,USHA AGENCIES,ERNAKULAM,7,1750.0,1,,TN 38 DK 1272
BOOKING,492,14-11-2025,CRESCO INDUSTRIAL,RISE REFRIGERATION,ERNAKULAM,15,3750.0,1,,TN 38 DK 1272
BOOKING,493,14-11-2025,SRI VENKATESWARA,HITECH UNIVERSAL,COIMBATORE,363,16700.0,1,,TN 38 DK 1272
BOOKING,495,14-11-2025,SUN INDUSTRIAL,SRI ANANYA HEATER,COIMBATORE,1,200.0,1,,TN 38 DK 1272
BOOKING,989,14-11-2025,SOUTHERN ENTERPRISES,BHARATH PAPER,COIMBATORE,2,360.0,3,,TN 38 DK 1272
BOOKING,990,14-11-2025,SOUTHERN ENTERPRISES,SOUTHERN ENTERPRISES,ERODE,1,280.0,3,,TN 38 DK 1272
BOOKING,991,14-11-2025,SOUTHERN ENTERPRISES,M/S KAISER PRINT,COIMBATORE,2,560.0,3,,TN 38 DK 1272
RECEIVED,1450,14-11-2025,,LAMINAR LAMINA,MUVATUPUZHA,40,12000.0,1,,TN 38 DQ 3538
RECEIVED,1451,14-11-2025,,EMPORE ELANZA,KOTTAYAM,1,400.0,1,,TN 38 DQ 3538
RECEIVED,1452,14-11-2025,,KATTUNGAL METALS,ALAPUZHA,4,2000.0,1,,TN 38 DQ 3538
RECEIVED,1453,14-11-2025,,GOODYS ENTERPRISES,CALICUT,1,250.0,1,,TN 38 DQ 3538
RECEIVED,1454,14-11-2025,,KATTUNGAL METALS,ALAPUZHA,3,1800.0,1,,TN 38 DQ 3538
RECEIVED,1455,14-11-2025,,SUSI GARMENTS,COIMBATORE,3,450.0,1,,TN 38 DQ 3538
RECEIVED,1456,14-11-2025,,GANAPATHY,TRIVANDRUM,1,350.0,1,,TN 38 DQ 3538
RECEIVED,1457,14-11-2025,,BOSCO INTERNATIONAL,EDAPPAL,2,400.0,1,,TN 38 DQ 3538
RECEIVED,1458,14-11-2025,,GOLDEN THREAD,TRIVANDRUM,1,400.0,1,,TN 38 DQ 3538
RECEIVED,1459,14-11-2025,,QUILL FORM,TIRUPUR,2,400.0,1,,TN 38 DQ 3538
RECEIVED,1460,14-11-2025,,CASH,PUNNALUR,1,250.0,1,,TN 38 DQ 3538
RECEIVED,1461,14-11-2025,,PRIME STEEL,ALAPUZHA,1,500.0,1,,TN 38 DQ 3538
RECEIVED,1462,14-11-2025,,RAJA RANI,TIRUR,2,700.0,1,,TN 38 DQ 3538
RECEIVED,1464,14-11-2025,,UNIQUE SALES,KANHANGAD,1,250.0,1,,TN 38 DQ 3538
RECEIVED,1465,14-11-2025,,RAVI KUMAR,KOYILANDY,3,700.0,1,,TN 38 DQ 3538
RECEIVED,1466,14-11-2025,,BABY VARIETIES,THODUPUZHA,1,250.0,1,,TN 38 DQ 3538
RECEIVED,1467,14-11-2025,,RUN SPORTS,MUVATUPUZHA,2,700.0,1,,TN 38 DQ 3538
RECEIVED,1468,14-11-2025,,MS DESIGN,KOYILANDY,4,1000.0,1,,TN 38 DQ 3538
RECEIVED,1469,14-11-2025,,UNITY TRADER,MANNARKAD,1,400.0,1,,TN 38 DQ 3538
RECEIVED,1470,14-11-2025,,HI FASHION,EDAPPAL,2,500.0,1,,TN 38 DQ 3538
RECEIVED,1471,14-11-2025,,DENWUD EXIM,PERUMBAVOOR,1,300.0,1,,TN 38 DQ 3538
RECEIVED,1472,14-11-2025,,FAIRFIX LABLES,TIRUPUR,1,150.0,1,,TN 38 DQ 3538
RECEIVED,1473,14-11-2025,,SHREE RAJESHWAR,CALICUT,1,400.0,1,,TN 38 DQ 3538
RECEIVED,1474,14-11-2025,,KRG & CO,TIRUPUR,1,200.0,1,,TN 38 DQ 3538
RECEIVED,1475,14-11-2025,,AQUA TERRA,TIRUPUR,1,200.0,1,,TN 38 DQ 3538
RECEIVED,1476,14-11-2025,,NEW ROYAL,KONDOTTY,1,300.0,1,,TN 38 DQ 3538
RECEIVED,1477,14-11-2025,,A.K STORES,TRIVANDRUM,2,800.0,1,,TN 38 DQ 3538
RECEIVED,1478,14-11-2025,,ACB CHEMICALS,THAMARASERRY,3,750.0,2,,TN 38 DQ 3538
RECEIVED,1479,14-11-2025,,ROYAL BANNIENS,ALAPUZHA,1,500.0,1,,TN 38 DQ 3538
RECEIVED,1480,14-11-2025,,PS TRADERS,MANGALORE,3,900.0,1,,TN 38 DQ 3538
RECEIVED,1481,14-11-2025,,TAILORS MART,ALUVA,3,750.0,1,,TN 38 DQ 3538
BOOKING,490,14-11-2025,DYADNI INDUSTRIES,KPS INDUSTRIES,TIRUPUR,6,1200.0,1,,TN 38 DQ 3538
BOOKING,491,14-11-2025,G CREW,SHREE SHANTHINATH,TIRUPUR,3,450.0,1,,TN 38 DQ 3538
BOOKING,494,14-11-2025,TRUE LEGEND,STARLINK EXPORTS,TIRUPUR,1,150.0,1,,TN 38 DQ 3538
BOOKING,496,14-11-2025,SUN INDUSTRIAL,SRI JAYAM,TIRUPUR,1,150.0,1,,TN 38 DQ 3538
BOOKING,497,14-11-2025,FAHA SOURCING,GG FASHION,TIRUPUR,1,100.0,2,,TN 38 DQ 3538
BOOKING,498,14-11-2025,COOQUE RETAIL,BRIGHTS REACE,BANGALORE,60,5750.0,1,,TN 38 DQ 3538
BOOKING,499,14-11-2025,ASHWANTHRAJ,CLASSIC GOLD,COIMBATORE,3,360.0,2,,TN 38 DQ 3538
BOOKING,992,14-11-2025,SOUTHERN ENTERPRISES,M/S SELVA OFFSET,TIRUPUR,2,512.0,3,,TN 38 DQ 3538
BOOKING,993,14-11-2025,SOUTHERN ENTERPRISES,ABARNA COLOUR,TIRUPUR,2,156.0,3,,TN 38 DQ 3538
BOOKING,994,14-11-2025,SOUTHERN ENTERPRISES,SVS OFFSET,TIRUPUR,6,1136.0,3,,TN 38 DQ 3538
BOOKING,995,14-11-2025,SOUTHERN ENTERPRISES,SREE VASAA PRINT,TIRUPUR,2,512.0,3,,TN 38 DQ 3538
BOOKING,996,14-11-2025,SOUTHERN ENTERPRISES,ABINAV COLOURS,TIRUPUR,17,772.0,3,,TN 38 DQ 3538
BOOKING,997,14-11-2025,SOUTHERN ENTERPRISES,STERLING DYE,TIRUPUR,10,330.0,3,,TN 38 DQ 3538
