LR No,Date,To Customer,To Place,Quantity,Amount,Payment Method
326,03-11-2025,KPM TRADERS,MUVATUPUZHA,60,7200.0,1
327,03-11-2025,JEETH CHEMICALS,KANNUR,40,5500.0,1
328,03-11-2025,CLASSIC GOLD,COIMBATORE,1,120.0,2
329,03-11-2025,SRI BALAJI,COIMBATORE,2,300.0,1
330,04-11-2025,FLOWER LAND,CHALAKUDY,3,1050.0,1
331,04-11-2025,GRANDTECH,ERNAKULAM,50,5000.0,1
332,04-11-2025,MINA AGENCIES,MALAPURAM,29,8500.0,1
333,04-11-2025,MAVA ELECTRICALS,ERNAKULAM,11,3250.0,1
334,04-11-2025,M/S ARASAN,COIMBATORE,12,7000.0,1
335,04-11-2025,SUN TEXT,TIRUPUR,28,2070.0,2
336,04-11-2025,TRIVANDRUM METALS,TRIVANDRUM,5,1250.0,1
337,04-11-2025,GLOBAL SOAP,THAMARASERY,23,8800.0,1
339,04-11-2025,A.S ENTERPRISES,TIRUPUR,1,150.0,1
340,04-11-2025,ESTOC AUTOMATION,KOTTAYAM,1,5000.0,1
341,04-11-2025,RAJA CYCLE,THIRUVALLA,11,4400.0,1
343,04-11-2025,SIDDHI CARE,KANHANGAD,2,600.0,1
344,04-11-2025,MARIA AGENCIES,THRISSUR,70,10500.0,2
345,04-11-2025,ANANYA HEATER,COIMBATORE,1,150.0,1
346,05-11-2025,USHA AGENCIES,ERNAKULAM,4,1050.0,1
347,05-11-2025,JOS ELECTRICALS,ERNAKULAM,1,250.0,1
348,05-11-2025,T GNANAMBAL,COIMBATORE,5,1000.0,1
349,05-11-2025,KALPANA ENTERPRISES,COIMBATORE,2,400.0,1
350,05-11-2025,FAROOK KHAN,CALICUT,3,1650.0,1
351,05-11-2025,P.T ENTERPRISES,PATTAMBI,1,550.0,1
352,05-11-2025,RINILIMA,TRIVANDRUM,2,300.0,2
353,05-11-2025,T.J DISTRIBUTORS,VARAPUZHA,3,1140.0,1
354,05-11-2025,PIXEL DIGITAL,KASARGOD,4,1200.0,1
355,05-11-2025,MANGALA HYGIENE,MANGALORE,11,2750.0,1
356,05-11-2025,KEMI STEEL,PALAKAD,25,6250.0,1
357,05-11-2025,BALAGI,TRIVANDRUM,3,800.0,2
358,05-11-2025,PRINT HARVEST,TIRUPUR,2,312.0,1
359,05-11-2025,GOLDEN,TIRUPUR,1,150.0,1
360,05-11-2025,QUENCH,COIMBATORE,4,1400.0,1
361,05-11-2025,GOLDEN CAPITAL,THRISSUR,15,3500.0,1
362,05-11-2025,ISA TRADING IMPEX,CALICUT,13,3750.0,1
363,05-11-2025,MANGALORE HOTEL,MANGALORE,1,2300.0,1
364,06-11-2025,SARATHI,COIMBATORE,1,1800.0,2
365,06-11-2025,MANGALORE HOTEL,MANGALORE,8,2500.0,1
366,06-11-2025,PRIDE AGENCIES,CALUCUT,4,2200.0,1
367,06-11-2025,CITY AUTOPARTS,COCHIN,1,200.0,1
368,06-11-2025,GRANDTECH,ERNAKULAM,50,5000.0,1
369,06-11-2025,ICONICITY,BENGALORE,3,2100.0,1
370,06-11-2025,HOULANA SPORTS,PERINTALMANA,2,800.0,1
371,06-11-2025,ESCO PIPES,KANJIKODE,1,5000.0,1
372,06-11-2025,SABAPATHI ENTERPRISES,COIMBATORE,1,1500.0,1
373,06-11-2025,SUPREME DECORATIVE,KASARGOD,4,900.0,1
374,06-11-2025,SARAVANAS BABY SHOP,COIMBATORE,3,900.0,1
375,06-11-2025,COVAI SINGAPORE,COIMBATORE,6,2100.0,1
376,06-11-2025,SRI BALAJI,COIMABTORE,1,150.0,1
377,06-11-2025,HEATRAN ENG,COIMBATORE,2,300.0,1
378,06-11-2025,LIGHT POINT,PARINTHALMANNA,1,350.0,1
379,06-11-2025,APOORVA DECOR,CHANGANACHERY,1,250.0,1
380,06-11-2025,LED SHOPEE,CHANGANACHERY,1,300.0,1
381,06-11-2025,BT LIGHTS,KUNNAMKULAM,1,350.0,1
382,07-11-2025,A.S ENTERPRISES,TIRUPUR,2,200.0,1
383,07-11-2025,M/S VARAKAR,ERODE,1,800.0,1
384,07-11-2025,BUDDIES,KALPETTA,1,300.0,2
385,07-11-2025,JOS ELECTRICALS,ERNAKULAM,2,500.0,1
386,07-11-2025,BARFY AND CLARK,TIRUPUR,6,600.0,1
387,07-11-2025,TEEKAY NON WOVEN,SIVAKASI,13,810.0,1
388,07-11-2025,BONFAB TEXTILES,TIRUPUR,20,1750.0,1
389,07-11-2025,SINCERA IMPORT,TIRUPUR,45,3310.0,1
390,07-11-2025,SINFCERA TEXTILES,KUNNAMKULAM,40,3000.0,1
391,07-11-2025,CEMINDIA PROJECTS,TRIVANDRUM,7,2200.0,2
392,07-11-2025,MOOKAMBIKA,COIMBATORE,1,150.0,1
393,07-11-2025,SRI BALAJI,COIMBATORE,1,150.0,1
394,07-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1
395,07-11-2025,MUHAMMED,THRISSUR,1,200.0,1
396,07-11-2025,SUVEDA FASHION,TIRUPUR,1,100.0,1
397,08-11-2025,CLASSIC GOLD,COIMBATORE,3,360.0,2
398,08-11-2025,HSE SOFT,COIMBATORE,60,4700.0,1
399,08-11-2025,JOS ELECTRICALS,ERNAKULAM,1,250.0,1
400,08-11-2025,SAARP NON WOVEN,TIRUPUR,20,1750.0,1
500,15-11-2025,FAROOK KHAN,CALICUT,3,1650.0,1
964,05-11-2025,VALLIAMMAI DYES,TIRUPUR,13,1073.0,3
965,05-11-2025,STERLING DYE,TIRUPUR,10,330.0,3
966,05-11-2025,SUNSHINE INC,TIRUPUR,5,356.0,3
967,05-11-2025,SRI J.P COVERS,ERODE,1,140.0,3
968,05-11-2025,SUN ENTERPRISES,COIMBATORE,2,560.0,3
969,06-11-2025,MILKY MIST,ERODE,50,4500.0,3
970,06-11-2025,BARANI PRIYA,TIRUPUR,12,2072.0,3
971,06-11-2025,SRI LAKSHANA,ERODE,2,182.0,3
972,06-11-2025,VIVEKANANTHA,ERODE,15,210.0,3
973,08-11-2025,SRI GAYATHRI,TIRUPUR,1,356.0,3
974,08-11-2025,ATHARSH & CO,TIRUPUR,190,3398.0,3
975,08-11-2025,SOUTHERN ENTERPRISES,ERODE,2,336.0,3
976,08-11-2025,VIVEKANANTHA,ERODE,15,210.0,3
977,08-11-2025,VALLIAMMAI,TIRUPUR,5,460.0,3
978,11-11-2025,SRI RAM DYES,TIRUPUR,33,965.0,3
979,11-11-2025,SREE VASAA,TIRUPUR,3,512.0,3
980,11-11-2025,ABHINAV COLOURS,TIRUPUR,30,772.0,3
981,11-11-2025,TRUE WIN COLOUR,TIRUPUR,46,1028.0,3
982,11-11-2025,TOP STICKER,TIRUPUR,2,512.0,3
983,11-11-2025,HITEL CARTONS,COIMBATORE,2,560.0,3
984,12-11-2025,SRI AMMAN,ERODE,2,360.0,3
985,12-11-2025,JP DYES,TIRUPUR,15,486.0,3
986,12-11-2025,SRI VINAYAGA,TIRUPUR,15,486.0,3
987,12-11-2025,SREE ASWAT,TIRUPUR,140,2900.0,3
988,12-11-2025,SELVAM MARKETING,TIRUNELVELI,25,3500.0,3
501,15-11-2025,CEMINDIA PROJECTS,MANGALORE,13,3700.0,2
502,15-11-2025,S.K BROOMS,COCHI,1,200.0,1
503,15-11-2025,COOL GREEN,KAYAMKULAM,1,250.0,1
504,15-11-2025,GOLDEN,TIRUPUR,3,450.0,1
505,15-11-2025,MAVA ELECTRICALS,ERNAKULAM,11,2750.0,1
506,15-11-2025,LAXMI STEELS,PALAKAD,22,5500.0,1
507,15-11-2025,FIVE STAR,ERNAKULAM,72,14200.0,1
508,15-11-2025,ESCO PIPES,KANJIKODE,1,5000.0,1
509,15-11-2025,SOUTHERN AGRIFURANE,CHERUVATHUR,13,2190.0,1
510,15-11-2025,SATYAM LIGHTS,TRIVANDRUM,8,1900.0,1
511,15-11-2025,NANBAN PAPER,KARUR,24,8400.0,1
512,15-11-2025,BUDDIES,KALPETTA,1,300.0,2
513,15-11-2025,SHEETAL FLOWERS,MANGALORE,4,1250.0,1
514,15-11-2025,TEEPEE'S COLOUR,SULTHANBATHERY,20,3700.0,2
515,15-11-2025,IRSHAD PALLEYACTHODY,MALAPURAM,2,1100.0,1
516,15-11-2025,YASEEN MANZIL,KASARGOD,1,900.0,1
517,15-11-2025,KEMI STEEL,PALAKAD,8,2000.0,1
518,15-11-2025,TOOL LAND,PALAKAD,9,2250.0,1
519,15-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1
520,15-11-2025,MINA AGENCIES,KONDOTI,31,5000.0,1
521,15-11-2025,SRI MAHALAKSMI,TIRUPUR,79,5000.0,1
401,08-11-2025,KANJIRAPALLY MARKETING,KANJIRAPALLY,7,2660.0,2
402,08-11-2025,VARIETY GIFTS,TIRUR,20,7150.0,1
415,10-11-2025,SREE RAJESHWAR,TIRUPUR,6,900.0,1
431,11-11-2025,ROYAL STAR,MALAPURAM,7,3850.0,1
450,12-11-2025,LEESHE BRUSH,KANNUR,4,2200.0,1
403,08-11-2025,VARIETY GIFTS,TIRUR,18,5900.0,1
404,08-11-2025,MADHU OFFSET,TIRUPUR,24,2880.0,1
405,08-11-2025,BAZOOKA OFFSET,AREEKODE,1,300.0,1
406,08-11-2025,GOLDEN DESINE,TIRUPUR,1,150.0,1
407,08-11-2025,KAALI RAMAN,TIRUPUR,2,300.0,1
408,08-11-2025,JAYAM SCIENTIFIC,COIMBATORE,40,4200.0,1
409,08-11-2025,COZIMO SPORTS,THAMARASERY,45,14000.0,1
410,08-11-2025,SUVEDA FASHION,TIRUPUR,1,100.0,2
411,08-11-2025,KEMI STEEL,PALAKAD,16,4000.0,1
412,08-11-2025,SRI JAYAM,TIRUPUR,3,450.0,1
413,08-11-2025,LED SHOPEE,CHANGANACHERRY,1,450.0,1
414,08-11-2025,CLASSIC GOLD,COIMBATORE,2,240.0,2
416,10-11-2025,SREE SHANTHINATH,TIRUPUR,14,2100.0,1
417,10-11-2025,CITY AUTOPARTS,COCHIN,1,200.0,1
418,10-11-2025,WINNER TOY LAND,COIMBATORE,4,1200.0,1
419,10-11-2025,ENGINEERING POLYMER,MADURAI,4,250.0,1
420,10-11-2025,KAALI RAMAN,TIRUPUR,1,100.0,1
421,10-11-2025,MAHAVEER STICKER,MALAPURAM,1,350.0,1
422,10-11-2025,MARVAMILL STORE,MUVATUPUZHA,120,15000.0,1
423,10-11-2025,TATA PROJECT,TRIVANDRUM,5,1500.0,2
424,10-11-2025,SHRI SINGARAM,COIMBATORE,15,12300.0,1
425,10-11-2025,FLOWER LAND,CHALAKUDY,2,700.0,2
426,10-11-2025,SK BROOM,ERNAKULAM,24,8300.0,1
427,10-11-2025,LIGHTING STUDIO,RAMANATUKARA,1,350.0,1
428,10-11-2025,GOLDEN DESINE,TIRUPUR,1,150.0,1
429,10-11-2025,SRI JAYAM,TIRUPUR,1,100.0,1
430,10-11-2025,CLASSIC GOLD,COIMBATORE,2,240.0,2
432,11-11-2025,LEESHE BRUSH,KANNUR,2,1100.0,1
434,11-11-2025,VIJAY ELECTRICAL,ERNAKULAM,1,200.0,1
435,11-11-2025,FLOWER WORLD,TIRUR,13,5000.0,1
436,11-11-2025,CRAFT HOUSE,MANGALORE,6,1800.0,1
437,11-11-2025,SUPREME DECORATIVE,KASARGOD,2,600.0,1
438,11-11-2025,MAVA ELECTRICAL,ERNAKULAM,1,300.0,1
439,11-11-2025,TEEKAY NON,SIVAKASI,8,500.0,1
440,11-11-2025,BI LIGHTS,KUNNAMKULAM,1,250.0,1
441,11-11-2025,ALLIED BLENDERS,COCHIN,3,890.0,2
442,11-11-2025,TATA CONSUMER,COCHIN,24,3620.0,2
443,11-11-2025,KAALI RAMAN,TIRUPUR,1,150.0,1
444,11-11-2025,HTL CORPORATION,MALAPURAM,78,14850.0,1
445,11-11-2025,MANGALORE HOTEL,MANGALORE,7,2800.0,1
446,11-11-2025,DURUV VENTURES,COIMBATORE,3,1050.0,1
447,11-11-2025,HEATRAN ENGG,COIMBATORE,2,300.0,1
448,11-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1
449,11-11-2025,FASHION CREATOR,TIRUPUR,1,100.0,1
451,12-11-2025,MEENACHI AMMAN,PALAKAD,4,2200.0,1
452,12-11-2025,WINNER TOY LAND,COIMBATORE,1,300.0,1
453,12-11-2025,GRAND TECH,ERNAKULAM,50,5000.0,1
454,12-11-2025,THEKKATH AGENCIES,THRISSUR,7,3160.0,2
455,12-11-2025,VARIETY GIFTS,TIRUR,7,3900.0,1
456,12-11-2025,JIBREEL INDUSTRIES,TIRUPUR,80,5500.0,1
457,12-11-2025,KEL ELECTRICAL,KASARGOD,2,500.0,2
458,12-11-2025,SVM SOAPS,PALAKAD,13,5700.0,1
459,12-11-2025,LIGHTING STUDIO,RAMANATUKARA,1,250.0,1
460,12-11-2025,RISE REFRIGERATION,ERNAKULAM,11,2420.0,1
461,12-11-2025,GOLDEN DESINE,TIRUPUR,1,150.0,1
462,12-11-2025,ROUTS MULILLEAN,COIMBATORE,14,3000.0,1
463,12-11-2025,WILL MORE,MUVATUPUZHA,40,5300.0,1
464,12-11-2025,SRI JAYAM,TIRUPUR,2,300.0,1
465,12-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1
466,12-11-2025,VARIETY TOYS,TIRUR,21,6300.0,1
522,17-11-2025,SHIV MARKETING,ALUVA,6,1680.0,1
523,17-11-2025,VITAL MARKETING,TRIVANDRUM,1,250.0,1
524,17-11-2025,GLOBAL ASSOCIATE,ERNAKULAM,14,3500.0,1
525,17-11-2025,JOS ELECTRICALS,ERNAKULAM,2,500.0,1
526,17-11-2025,SONA MARKETING,RAMANATUKARA,22,4500.0,1
527,17-11-2025,BRYILYTE,THAMARASERY,1,250.0,1
528,17-11-2025,GPARTS TRADING,PALAKAD,11,2800.0,1
529,17-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1
530,17-11-2025,BADA BAZAAR,KARUNAGAPALLY,16,5000.0,1
531,17-11-2025,MA SONS,ATTINGAL,14,4500.0,1
532,17-11-2025,JEEVAN TRADERS,CHERTHALA,11,3500.0,1
533,17-11-2025,COVAI SINGAPORE,COIMBATORE,12,4400.0,1
534,17-11-2025,SARAVANAS BABY SHOP,COIMBATORE,3,1050.0,1
535,17-11-2025,A.S ENTERPRISES,TIRUPUR,1,100.0,1
536,18-11-2025,COVAI SINGAPORE,COIMBATORE,6,2300.0,1
538,18-11-2025,RR TEX,SIVAKASI,10,630.0,1
539,18-11-2025,SRI KARPAGA VINAYAGA,SALEM,40,3000.0,1
537,18-11-2025,JEEVAN TRADERS,CHERTHALA,11,4350.0,1
540,18-11-2025,SUN TEX MILLS,TIRUPUR,17,1560.0,2
541,18-11-2025,TEEKAY NON WOVEN,SIVAKASI,11,690.0,1
542,18-11-2025,JEEVAN TRADERS,ANGAMALLY,9,3650.0,1
543,18-11-2025,BADA BAZAR,KARUNAGAPPALY,8,3300.0,1
544,18-11-2025,SINECERA IMPORT,TIRUPUR,20,1750.0,1
545,18-11-2025,A.S ENTERPRISES,TIRUPUR,1,150.0,1
546,18-11-2025,SRI JAYAM,TIRUPUR,1,200.0,1
547,18-11-2025,SIGN IN,MUKKAM,1,250.0,1
